cumulative_distance_interp,x_interp,y_interp,radius_of_curvature_polyfit_interp
369.0,-3543.480626047355,4867226.975948849,158.7516661068369
370.0,-3544.437782786813,4867226.685337438,151.534046393348
371.0,-3545.397835652812,4867226.404990556,144.52752304298338
372.0,-3546.3613375875148,4867226.137521065,137.78950173506075
373.0,-3547.32883885745,4867225.885530782,131.36666717232703
374.0,-3548.3004675353677,4867225.649878789,125.29563324308396
375.0,-3549.2754725889945,4867225.427795404,119.6041284248551
376.0,-3550.252993207596,4867225.216057795,114.3114480935843
377.0,-3551.2321685804413,4867225.011443137,109.42502670443206
378.0,-3552.212160040571,4867224.81081571,104.93336765248021
379.0,-3553.1926125998107,4867224.6129425205,100.80766712759605
380.0,-3554.1736411253664,4867224.418438922,97.0084003970062
381.0,-3555.1553798628165,4867224.227996499,93.48991119393999
382.0,-3556.1379630577344,4867224.042306834,90.20494344637068
383.0,-3557.1215249556953,4867223.862061512,87.11126416211177
384.0,-3558.1061998022737,4867223.687952117,84.17350611330382
385.0,-3559.0921218487724,4867223.520670514,81.36167206031932
386.0,-3560.0794315353337,4867223.361213017,78.64997977972777
387.0,-3561.0682872761345,4867223.211460133,76.018758910327
388.0,-3562.058850730033,4867223.073451983,73.46176486440798
389.0,-3563.0512835558875,4867222.949228688,70.98434129203173
390.0,-3564.045747412556,4867222.840830371,68.60036318999387
391.0,-3565.0423275671073,4867222.7503213445,66.32943518005186
392.0,-3566.0406316306853,4867222.679917188,64.18653390452101
393.0,-3567.0400829653054,4867222.631891832,62.17596235047344
394.0,-3568.040104541324,4867222.608519325,60.29336668637912
395.0,-3569.0401194516944,4867222.612071177,58.527634905507945
396.0,-3570.039616618276,4867222.643451902,56.86298325676295
397.0,-3571.0382591765915,4867222.699948335,55.280198203061175
398.0,-3572.03573875253,4867222.778255686,53.760896144666525
399.0,-3573.0317469719803,4867222.875069164,52.29462689577553
400.0,-3574.0259793287355,4867222.98710237,50.87871810347836
401.0,-3575.018318623381,4867223.111959645,49.51758007797427
402.0,-3576.008914806339,4867223.24851575,48.22132012303165
403.0,-3576.9979382983142,4867223.395742803,47.0043389608278
404.0,-3577.9855595200142,4867223.552612913,45.88293700228534
405.0,-3578.971948892142,4867223.718098193,44.86574366291046
406.0,-3579.957276835406,4867223.891170762,43.9497556060014
407.0,-3580.9416180384537,4867224.071170066,43.121754371881664
408.0,-3581.92405247973,4867224.261252473,42.36051716929698
409.0,-3582.903070382535,4867224.466837354,41.64980291147972
410.0,-3583.8771542333534,4867224.693373772,40.98807519767407
411.0,-3584.844786518677,4867224.946310787,40.38809010420883
412.0,-3585.804410151961,4867225.230812898,39.875798104392494
413.0,-3586.7540568294694,4867225.549087576,39.47949639983367
414.0,-3587.691514426181,4867225.901589003,39.219879156214816
415.0,-3588.614567617908,4867226.2887483565,39.109861292894315
416.0,-3589.5210012921343,4867226.710996549,39.154933413716115
417.0,-3590.409852341264,4867227.167192189,39.35912787062906
418.0,-3591.284361968583,4867227.650914,39.72927999355767
419.0,-3592.1486529186845,4867228.154633645,40.27532435377331
420.0,-3593.0068479361667,4867228.670822784,41.01054820350442
421.0,-3593.862814095061,4867229.192344954,41.9518845766916
422.0,-3594.716326698906,4867229.718335255,43.119705086978094
423.0,-3595.5638692558337,4867230.252974223,44.53395047572059
424.0,-3596.4018319757793,4867230.800585385,46.211808995191824
425.0,-3597.2266050686803,4867231.365492275,48.16677837834348
426.0,-3598.0345787444744,4867231.952018423,50.40841060084461
427.0,-3598.8221561811465,4867232.5644708015,52.944414872931134
428.0,-3599.587737788953,4867233.2046063775,55.78115337024651
429.0,-3600.3338575903927,4867233.868904439,58.92335917025026
430.0,-3601.063562122227,4867234.553189916,62.375221412860355
431.0,-3601.779897921215,4867235.253287731,66.14391655458536
432.0,-3602.485911524115,4867235.965022811,70.24080334341923
433.0,-3603.18464946769,4867236.684220084,74.68221156410229
434.0,-3603.878311737558,4867237.407567449,79.487441568531
435.0,-3604.563334403515,4867238.137628538,84.67415560153
436.0,-3605.2337510460793,4867238.879416079,90.25803954473906
437.0,-3605.883587291907,4867239.637950909,96.25297972278986
438.0,-3606.5074389545734,4867240.4177854685,102.67116320338943
439.0,-3607.10892094015,4867241.2160632545,109.5218622687214
440.0,-3607.698849114734,4867242.024012359,116.81390878940574
441.0,-3608.2882401177676,4867242.832695949,124.55951377933039
442.0,-3608.887701147767,4867243.633506367,132.77511348420393
443.0,-3609.4995737568875,4867244.424481307,141.48272290927733
444.0,-3610.118527071343,4867245.209826879,150.71246392033555
445.0,-3610.7389396268363,4867245.99398282,160.497308452421
446.0,-3611.355520839709,4867246.781127817,170.86557092403396
447.0,-3611.9668796357287,4867247.572364012,181.840650139514
448.0,-3612.5741661611196,4867248.366788631,193.44257137043635
449.0,-3613.178574072069,4867249.163464577,205.69773441299182
450.0,-3613.781297024763,4867249.961454749,218.64278326194437
451.0,-3614.3835286753874,4867250.759822047,232.31774857916463
452.0,-3614.986202837848,4867251.557828422,246.74075679320677
453.0,-3615.5883500481627,4867252.356193807,261.8786824546519
454.0,-3616.1881544405196,4867253.156286512,277.64030707708343
455.0,-3616.7837966835373,4867253.959477486,293.8634967632361
456.0,-3617.3738728748385,4867254.766805004,310.32533295035347
457.0,-3617.9581849052047,4867255.57834173,326.81073408744345
458.0,-3618.5367521988564,4867256.393986122,343.19506541610576
459.0,-3619.1095960590205,4867257.213635465,359.4911149339173
460.0,-3619.6771776264873,4867258.036910717,375.79893048790484
461.0,-3620.2409605802586,4867258.862803017,392.2787154225963
462.0,-3620.8025475973554,4867259.690216177,408.992866036596
463.0,-3621.363527015101,4867260.51806371,425.74022034480987
464.0,-3621.9246750232096,4867261.3458085675,441.9569224004392
465.0,-3622.4855359607564,4867262.173747069,456.77019308777307
